ID_критерия,Название_критерия,Категория,Тип_критерия,Шкала_оценки,Важность_по_умолчанию
1,Заработная плата,Карьера и образование,Количественный,1-10 баллов,7.3
2,Карьерный рост,Карьера и образование,Качественный,1-10 баллов,7.5
3,Work-life balance,Карьера и образование,Качественный,1-10 баллов,6.9
4,Стабильность,Карьера и образование,Качественный,1-10 баллов,6.0
5,Престиж,Карьера и образование,Качественный,1-10 баллов,5.5
6,Интерес к работе,Карьера и образование,Качественный,1-10 баллов,6.5
7,Возможности обучения,Карьера и образование,Качественный,1-10 баллов,7.5
8,Рабочая атмосфера,Карьера и образование,Качественный,1-10 баллов,8.3
9,Доходность,Финансы и инвестиции,Количественный,1-10 баллов,8.4
10,Риск потерь,Финансы и инвестиции,Качественный,1-10 баллов,7.7
11,Ликвидность,Финансы и инвестиции,Качественный,1-10 баллов,8.6
12,Минимальная сумма,Финансы и инвестиции,Качественный,1-10 баллов,5.6
13,Сроки инвестирования,Финансы и инвестиции,Качественный,1-10 баллов,5.6
14,Налоговые льготы,Финансы и инвестиции,Качественный,1-10 баллов,7.8
15,Инфляционная защита,Финансы и инвестиции,Качественный,1-10 баллов,8.3
16,Простота управления,Финансы и инвестиции,Качественный,1-10 баллов,5.9
17,Эмоциональная совместимость,Отношения и семья,Качественный,1-10 баллов,7.5
18,Финансовая стабильность,Отношения и семья,Качественный,1-10 баллов,8.6
19,Общие ценности,Отношения и семья,Качественный,1-10 баллов,7.4
20,Семейные планы,Отношения и семья,Качественный,1-10 баллов,5.7
21,Взаимная поддержка,Отношения и семья,Качественный,1-10 баллов,6.1
22,Физическая привлекательность,Отношения и семья,Качественный,1-10 баллов,8.4
23,Социальный статус,Отношения и семья,Качественный,1-10 баллов,7.8
24,Готовность к компромиссам,Отношения и семья,Качественный,1-10 баллов,8.3
25,Эффективность,Здоровье и фитнес,Качественный,1-10 баллов,8.1
26,Стоимость,Здоровье и фитнес,Количественный,1-10 баллов,5.9
27,Безопасность,Здоровье и фитнес,Качественный,1-10 баллов,6.4
28,Время на выполнение,Здоровье и фитнес,Качественный,1-10 баллов,5.5
29,Доступность,Здоровье и фитнес,Качественный,1-10 баллов,6.7
30,Побочные эффекты,Здоровье и фитнес,Качественный,1-10 баллов,5.3
31,Научная обоснованность,Здоровье и фитнес,Качественный,1-10 баллов,6.4
32,Долгосрочные результаты,Здоровье и фитнес,Качественный,1-10 баллов,5.1
33,Цена,Жильё и недвижимость,Количественный,1-10 баллов,6.6
34,Местоположение,Жильё и недвижимость,Качественный,1-10 баллов,8.6
35,Площадь,Жильё и недвижимость,Качественный,1-10 баллов,7.2
36,Состояние жилья,Жильё и недвижимость,Качественный,1-10 баллов,6.8
37,Инфраструктура,Жильё и недвижимость,Качественный,1-10 баллов,7.0
38,Транспортная доступность,Жильё и недвижимость,Качественный,1-10 баллов,6.6
39,Экология,Жильё и недвижимость,Качественный,1-10 баллов,7.0
40,Безопасность района,Жильё и недвижимость,Качественный,1-10 баллов,8.8
41,Бюджет поездки,Путешествия и отдых,Качественный,1-10 баллов,8.1
42,Климат,Путешествия и отдых,Качественный,1-10 баллов,8.2
43,Культурные достопримечательности,Путешествия и отдых,Качественный,1-10 баллов,8.3
44,Безопасность,Путешествия и отдых,Качественный,1-10 баллов,5.8
45,Языковой барьер,Путешествия и отдых,Качественный,1-10 баллов,5.2
46,Виза и документы,Путешествия и отдых,Качественный,1-10 баллов,5.1
47,Качество сервиса,Путешествия и отдых,Качественный,1-10 баллов,5.5
48,Отзывы туристов,Путешествия и отдых,Качественный,1-10 баллов,6.6
49,Цена товара,Покупки и потребление,Качественный,1-10 баллов,6.4
50,Качество,Покупки и потребление,Качественный,1-10 баллов,8.4
51,Бренд,Покупки и потребление,Качественный,1-10 баллов,8.3
52,Функциональность,Покупки и потребление,Качественный,1-10 баллов,7.2
53,Дизайн,Покупки и потребление,Качественный,1-10 баллов,8.6
54,Гарантия,Покупки и потребление,Качественный,1-10 баллов,7.2
55,Отзывы покупателей,Покупки и потребление,Качественный,1-10 баллов,7.2
56,Экологичность,Покупки и потребление,Качественный,1-10 баллов,8.8
57,Общие интересы,Социальная жизнь,Качественный,1-10 баллов,7.8
58,Время на общение,Социальная жизнь,Качественный,1-10 баллов,8.9
59,Эмоциональная поддержка,Социальная жизнь,Качественный,1-10 баллов,7.0
60,Взаимная выгода,Социальная жизнь,Качественный,1-10 баллов,8.2
61,Надежность людей,Социальная жизнь,Качественный,1-10 баллов,7.5
62,Позитивное влияние,Социальная жизнь,Качественный,1-10 баллов,8.7
63,Социальный статус,Социальная жизнь,Качественный,1-10 баллов,8.0
64,Географическая близость,Социальная жизнь,Качественный,1-10 баллов,7.1
65,Личный интерес,Хобби и развлечения,Качественный,1-10 баллов,6.0
66,Стоимость занятий,Хобби и развлечения,Качественный,1-10 баллов,6.6
67,Время на хобби,Хобби и развлечения,Качественный,1-10 баллов,5.8
68,Социальные возможности,Хобби и развлечения,Качественный,1-10 баллов,6.8
69,Развитие навыков,Хобби и развлечения,Качественный,1-10 баллов,6.1
70,Физическая нагрузка,Хобби и развлечения,Качественный,1-10 баллов,5.6
71,Творческое самовыражение,Хобби и развлечения,Качественный,1-10 баллов,8.9
72,Практическая польза,Хобби и развлечения,Качественный,1-10 баллов,8.9
73,Духовная значимость,Духовность и самопознание,Качественный,1-10 баллов,8.9
74,Научная обоснованность,Духовность и самопознание,Качественный,1-10 баллов,8.9
75,Практическая польза,Духовность и самопознание,Качественный,1-10 баллов,5.6
76,Временные затраты,Духовность и самопознание,Качественный,1-10 баллов,5.6
77,Стоимость обучения,Духовность и самопознание,Качественный,1-10 баллов,7.8
78,Социальное принятие,Духовность и самопознание,Качественный,1-10 баллов,5.1
79,Совместимость с убеждениями,Духовность и самопознание,Качественный,1-10 баллов,5.4
80,Долгосрочное развитие,Духовность и самопознание,Качественный,1-10 баллов,7.4
81,Удобство использования,Технологии и цифровая жизнь,Качественный,1-10 баллов,6.0
82,Безопасность данных,Технологии и цифровая жизнь,Качественный,1-10 баллов,5.6
83,Стоимость услуг,Технологии и цифровая жизнь,Качественный,1-10 баллов,7.2
84,Функциональность,Технологии и цифровая жизнь,Качественный,1-10 баллов,7.7
85,Совместимость,Технологии и цифровая жизнь,Качественный,1-10 баллов,8.0
86,Скорость работы,Технологии и цифровая жизнь,Качественный,1-10 баллов,5.6
87,Техническая поддержка,Технологии и цифровая жизнь,Качественный,1-10 баллов,8.3
88,Обновления и развитие,Технологии и цифровая жизнь,Качественный,1-10 баллов,9.0
89,Уровень защиты,Безопасность и защита,Качественный,1-10 баллов,7.5
90,Стоимость решения,Безопасность и защита,Качественный,1-10 баллов,5.7
91,Надежность системы,Безопасность и защита,Качественный,1-10 баллов,7.9
92,Простота использования,Безопасность и защита,Качественный,1-10 баллов,6.4
93,Скорость реагирования,Безопасность и защита,Качественный,1-10 баллов,5.2
94,Покрытие рисков,Безопасность и защита,Качественный,1-10 баллов,5.7
95,Репутация провайдера,Безопасность и защита,Качественный,1-10 баллов,8.6
96,Гибкость условий,Безопасность и защита,Качественный,1-10 баллов,9.0
