ID_оценки,ID_решения,Категория_решения,Имя_эксперта,Область_экспертизы,Экспертная_оценка_сложности,Рекомендуемое_время_на_решение_часы,Ключевые_риски,Рекомендуемый_подход,Важность_интуиции,Важность_логики,Дата_экспертизы,Уверенность_эксперта
1,8,Карьера и образование,Эксперт_20,Карьера и образование,8,94.4,Эмоциональные последствия,Сбор дополнительной информации,7,9,2025-04-07 06:43:31.650959,9
2,95,Отношения и семья,Эксперт_19,Отношения и семья,2,57.2,Безопасность,Сбор дополнительной информации,2,6,2025-08-20 06:43:31.652088,6
3,118,Здоровье и фитнес,Эксперт_19,Здоровье и фитнес,7,22.5,Безопасность,Тщательный анализ,10,8,2025-05-23 06:43:31.653245,1
4,90,Отношения и семья,Эксперт_20,Отношения и семья,4,16.1,Временные затраты,Быстрое решение,7,6,2025-05-03 06:43:31.653932,9
5,2,Карьера и образование,Эксперт_19,Карьера и образование,9,99.9,Репутационные риски,Поэтапное планирование,1,5,2025-08-07 06:43:31.654784,9
6,9,Карьера и образование,Эксперт_1,Карьера и образование,10,44.9,Репутационные риски,Тщательный анализ,8,6,2025-06-03 06:43:31.655454,9
7,33,Карьера и образование,Эксперт_11,Карьера и образование,2,55.8,Безопасность,Консультация с другими,2,3,2025-04-25 06:43:31.656099,5
8,355,Технологии и цифровая жизнь,Эксперт_13,Технологии и цифровая жизнь,10,23.0,Временные затраты,Тщательный анализ,9,9,2025-07-21 06:43:31.656860,5
9,268,Хобби и развлечения,Эксперт_3,Хобби и развлечения,10,85.8,Здоровье,Быстрое решение,7,5,2025-07-13 06:43:31.657570,3
10,198,Покупки и потребление,Эксперт_5,Покупки и потребление,10,113.2,Карьерные риски,Сбор дополнительной информации,10,2,2025-05-04 06:43:31.658191,1
11,237,Социальная жизнь,Эксперт_9,Социальная жизнь,6,32.7,Репутационные риски,Тщательный анализ,9,6,2025-03-06 06:43:31.658947,5
12,223,Покупки и потребление,Эксперт_12,Покупки и потребление,8,100.2,Финансовые потери,Консультация с другими,7,9,2025-07-26 06:43:31.659666,1
13,195,Покупки и потребление,Эксперт_19,Покупки и потребление,3,16.0,Карьерные риски,Поэтапное планирование,1,10,2025-08-23 06:43:31.660446,1
14,59,Финансы и инвестиции,Эксперт_3,Финансы и инвестиции,7,27.1,Карьерные риски,Поэтапное планирование,5,1,2025-05-02 06:43:31.661066,3
15,24,Карьера и образование,Эксперт_7,Карьера и образование,3,34.1,Безопасность,Быстрое решение,9,3,2025-04-06 06:43:31.661760,10
16,16,Карьера и образование,Эксперт_11,Карьера и образование,5,1.6,Временные затраты,Поэтапное планирование,9,9,2025-07-12 06:43:31.662400,3
17,261,Хобби и развлечения,Эксперт_9,Хобби и развлечения,8,29.6,Репутационные риски,Поэтапное планирование,2,7,2025-04-11 06:43:31.663003,6
18,324,Технологии и цифровая жизнь,Эксперт_1,Технологии и цифровая жизнь,8,8.8,Карьерные риски,Сбор дополнительной информации,1,2,2025-07-29 06:43:31.663666,10
19,306,Духовность и самопознание,Эксперт_12,Духовность и самопознание,1,73.6,Безопасность,Тщательный анализ,2,6,2025-07-11 06:43:31.664383,7
20,344,Технологии и цифровая жизнь,Эксперт_3,Технологии и цифровая жизнь,1,89.5,Эмоциональные последствия,Поэтапное планирование,1,10,2025-07-24 06:43:31.664993,4
21,286,Хобби и развлечения,Эксперт_2,Хобби и развлечения,1,56.0,Здоровье,Сбор дополнительной информации,6,1,2025-08-26 06:43:31.665666,8
22,347,Технологии и цифровая жизнь,Эксперт_9,Технологии и цифровая жизнь,2,105.4,Влияние на отношения,Сбор дополнительной информации,6,5,2025-06-30 06:43:31.666303,3
23,247,Социальная жизнь,Эксперт_19,Социальная жизнь,9,56.7,Эмоциональные последствия,Поэтапное планирование,6,3,2025-03-28 06:43:31.667007,5
24,380,Безопасность и защита,Эксперт_9,Безопасность и защита,8,92.2,Здоровье,Тщательный анализ,10,9,2025-07-22 06:43:31.667699,8
25,63,Финансы и инвестиции,Эксперт_7,Финансы и инвестиции,5,97.5,Временные затраты,Быстрое решение,2,1,2025-06-22 06:43:31.668455,6
26,6,Карьера и образование,Эксперт_2,Карьера и образование,3,42.9,Здоровье,Быстрое решение,3,2,2025-04-30 06:43:31.669084,5
27,281,Хобби и развлечения,Эксперт_7,Хобби и развлечения,6,53.1,Эмоциональные последствия,Консультация с другими,3,7,2025-04-14 06:43:31.669776,1
28,43,Финансы и инвестиции,Эксперт_13,Финансы и инвестиции,5,117.5,Здоровье,Тщательный анализ,7,8,2025-07-09 06:43:31.670447,10
29,152,Жильё и недвижимость,Эксперт_18,Жильё и недвижимость,4,118.8,Влияние на отношения,Консультация с другими,9,9,2025-07-09 06:43:31.671047,9
30,97,Здоровье и фитнес,Эксперт_10,Здоровье и фитнес,3,38.8,Эмоциональные последствия,Поэтапное планирование,5,7,2025-07-23 06:43:31.671702,9
31,191,Путешествия и отдых,Эксперт_2,Путешествия и отдых,6,40.7,Безопасность,Поэтапное планирование,5,1,2025-05-19 06:43:31.672467,6
32,197,Покупки и потребление,Эксперт_15,Покупки и потребление,10,40.9,Временные затраты,Консультация с другими,7,3,2025-07-06 06:43:31.673254,10
33,48,Финансы и инвестиции,Эксперт_6,Финансы и инвестиции,1,71.7,Карьерные риски,Консультация с другими,2,1,2025-04-23 06:43:31.674043,5
34,148,Жильё и недвижимость,Эксперт_1,Жильё и недвижимость,10,13.1,Эмоциональные последствия,Тщательный анализ,2,2,2025-05-01 06:43:31.674755,9
35,32,Карьера и образование,Эксперт_13,Карьера и образование,2,72.5,Финансовые потери,Быстрое решение,6,5,2025-02-28 06:43:31.675527,8
36,121,Здоровье и фитнес,Эксперт_13,Здоровье и фитнес,1,82.7,Репутационные риски,Быстрое решение,1,7,2025-03-22 06:43:31.676278,6
37,284,Хобби и развлечения,Эксперт_8,Хобби и развлечения,6,98.3,Влияние на отношения,Тщательный анализ,3,1,2025-08-06 06:43:31.677282,3
38,149,Жильё и недвижимость,Эксперт_6,Жильё и недвижимость,8,108.2,Карьерные риски,Тщательный анализ,1,3,2025-05-13 06:43:31.678957,1
39,164,Путешествия и отдых,Эксперт_3,Путешествия и отдых,6,14.2,Эмоциональные последствия,Быстрое решение,6,10,2025-06-22 06:43:31.679845,8
40,333,Технологии и цифровая жизнь,Эксперт_20,Технологии и цифровая жизнь,6,4.8,Влияние на отношения,Тщательный анализ,8,2,2025-05-06 06:43:31.680646,4
41,125,Здоровье и фитнес,Эксперт_5,Здоровье и фитнес,8,71.8,Финансовые потери,Консультация с другими,10,6,2025-03-16 06:43:31.681272,1
42,329,Технологии и цифровая жизнь,Эксперт_8,Технологии и цифровая жизнь,2,6.7,Здоровье,Консультация с другими,10,4,2025-06-11 06:43:31.681968,1
43,44,Финансы и инвестиции,Эксперт_7,Финансы и инвестиции,10,15.1,Влияние на отношения,Консультация с другими,3,1,2025-07-04 06:43:31.682810,7
44,302,Духовность и самопознание,Эксперт_2,Духовность и самопознание,9,73.8,Влияние на отношения,Тщательный анализ,2,9,2025-06-12 06:43:31.683456,10
45,262,Хобби и развлечения,Эксперт_4,Хобби и развлечения,4,118.9,Карьерные риски,Сбор дополнительной информации,10,3,2025-04-10 06:43:31.684047,6
46,25,Карьера и образование,Эксперт_12,Карьера и образование,4,109.2,Карьерные риски,Быстрое решение,1,6,2025-05-20 06:43:31.684793,2
47,248,Социальная жизнь,Эксперт_2,Социальная жизнь,1,49.5,Безопасность,Сбор дополнительной информации,10,1,2025-03-16 06:43:31.685434,1
48,142,Жильё и недвижимость,Эксперт_13,Жильё и недвижимость,10,52.0,Финансовые потери,Тщательный анализ,9,7,2025-05-07 06:43:31.686065,8
49,216,Покупки и потребление,Эксперт_9,Покупки и потребление,1,93.6,Эмоциональные последствия,Поэтапное планирование,9,5,2025-03-03 06:43:31.686749,3
50,282,Хобби и развлечения,Эксперт_7,Хобби и развлечения,4,68.9,Влияние на отношения,Консультация с другими,10,6,2025-07-01 06:43:31.687442,1
51,348,Технологии и цифровая жизнь,Эксперт_1,Технологии и цифровая жизнь,7,59.4,Здоровье,Быстрое решение,6,6,2025-08-25 06:43:31.688059,4
52,71,Отношения и семья,Эксперт_6,Отношения и семья,6,99.6,Временные затраты,Поэтапное планирование,4,7,2025-06-08 06:43:31.689009,5
53,100,Здоровье и фитнес,Эксперт_5,Здоровье и фитнес,7,22.9,Временные затраты,Поэтапное планирование,9,5,2025-07-11 06:43:31.689687,10
54,162,Путешествия и отдых,Эксперт_2,Путешествия и отдых,3,79.7,Репутационные риски,Быстрое решение,4,5,2025-06-04 06:43:31.690268,2
55,159,Путешествия и отдых,Эксперт_3,Путешествия и отдых,1,88.7,Финансовые потери,Сбор дополнительной информации,1,7,2025-03-07 06:43:31.690945,1
56,210,Покупки и потребление,Эксперт_12,Покупки и потребление,4,1.7,Здоровье,Сбор дополнительной информации,5,4,2025-08-24 06:43:31.691564,3
57,346,Технологии и цифровая жизнь,Эксперт_4,Технологии и цифровая жизнь,2,46.7,Безопасность,Быстрое решение,3,10,2025-08-26 06:43:31.692259,5
58,336,Технологии и цифровая жизнь,Эксперт_11,Технологии и цифровая жизнь,8,40.8,Безопасность,Консультация с другими,10,3,2025-08-05 06:43:31.692928,3
59,51,Финансы и инвестиции,Эксперт_19,Финансы и инвестиции,10,92.8,Влияние на отношения,Быстрое решение,7,1,2025-06-29 06:43:31.693578,4
60,18,Карьера и образование,Эксперт_14,Карьера и образование,3,95.9,Репутационные риски,Поэтапное планирование,6,6,2025-04-16 06:43:31.694163,3
61,385,Безопасность и защита,Эксперт_3,Безопасность и защита,5,56.0,Безопасность,Тщательный анализ,10,3,2025-08-27 06:43:31.694812,8
62,102,Здоровье и фитнес,Эксперт_4,Здоровье и фитнес,2,96.3,Репутационные риски,Быстрое решение,9,1,2025-07-12 06:43:31.695452,4
63,384,Безопасность и защита,Эксперт_14,Безопасность и защита,3,12.8,Репутационные риски,Тщательный анализ,6,9,2025-07-27 06:43:31.696083,9
64,235,Социальная жизнь,Эксперт_19,Социальная жизнь,8,87.0,Карьерные риски,Сбор дополнительной информации,2,7,2025-07-31 06:43:31.696831,2
65,207,Покупки и потребление,Эксперт_17,Покупки и потребление,7,26.2,Карьерные риски,Консультация с другими,9,9,2025-08-07 06:43:31.697750,10
66,94,Отношения и семья,Эксперт_11,Отношения и семья,10,90.2,Безопасность,Быстрое решение,2,7,2025-04-07 06:43:31.698528,9
67,339,Технологии и цифровая жизнь,Эксперт_2,Технологии и цифровая жизнь,1,90.3,Карьерные риски,Быстрое решение,8,9,2025-03-01 06:43:31.699291,10
68,190,Путешествия и отдых,Эксперт_7,Путешествия и отдых,2,66.2,Здоровье,Сбор дополнительной информации,3,9,2025-04-01 06:43:31.700102,8
69,143,Жильё и недвижимость,Эксперт_6,Жильё и недвижимость,9,33.9,Влияние на отношения,Тщательный анализ,2,9,2025-07-23 06:43:31.700877,3
70,169,Путешествия и отдых,Эксперт_16,Путешествия и отдых,3,1.1,Репутационные риски,Сбор дополнительной информации,4,10,2025-06-13 06:43:31.701928,9
71,350,Технологии и цифровая жизнь,Эксперт_5,Технологии и цифровая жизнь,4,17.1,Репутационные риски,Тщательный анализ,5,2,2025-06-17 06:43:31.703066,5
72,377,Безопасность и защита,Эксперт_16,Безопасность и защита,5,78.9,Репутационные риски,Сбор дополнительной информации,2,2,2025-05-12 06:43:31.704288,6
73,225,Покупки и потребление,Эксперт_19,Покупки и потребление,10,85.6,Финансовые потери,Быстрое решение,1,3,2025-08-18 06:43:31.705446,4
74,39,Финансы и инвестиции,Эксперт_2,Финансы и инвестиции,5,112.5,Репутационные риски,Быстрое решение,3,3,2025-05-07 06:43:31.706260,8
75,170,Путешествия и отдых,Эксперт_12,Путешествия и отдых,3,83.8,Временные затраты,Быстрое решение,6,4,2025-08-17 06:43:31.707003,3
76,11,Карьера и образование,Эксперт_17,Карьера и образование,2,50.7,Финансовые потери,Поэтапное планирование,5,7,2025-07-08 06:43:31.707783,1
77,375,Безопасность и защита,Эксперт_2,Безопасность и защита,6,86.1,Эмоциональные последствия,Поэтапное планирование,8,8,2025-05-28 06:43:31.708755,7
78,224,Покупки и потребление,Эксперт_19,Покупки и потребление,2,73.7,Эмоциональные последствия,Быстрое решение,2,1,2025-03-14 06:43:31.709407,3
79,222,Покупки и потребление,Эксперт_20,Покупки и потребление,2,50.5,Временные затраты,Поэтапное планирование,5,7,2025-03-25 06:43:31.710186,1
80,200,Покупки и потребление,Эксперт_6,Покупки и потребление,10,90.1,Эмоциональные последствия,Тщательный анализ,1,5,2025-06-25 06:43:31.710856,9
81,217,Покупки и потребление,Эксперт_9,Покупки и потребление,2,74.8,Здоровье,Быстрое решение,3,10,2025-08-07 06:43:31.711537,4
82,138,Жильё и недвижимость,Эксперт_4,Жильё и недвижимость,7,58.9,Финансовые потери,Консультация с другими,7,9,2025-05-25 06:43:31.712137,7
83,357,Безопасность и защита,Эксперт_13,Безопасность и защита,8,114.5,Финансовые потери,Поэтапное планирование,4,7,2025-07-19 06:43:31.713094,2
84,38,Финансы и инвестиции,Эксперт_19,Финансы и инвестиции,9,96.7,Карьерные риски,Консультация с другими,1,5,2025-04-01 06:43:31.713724,5
85,7,Карьера и образование,Эксперт_9,Карьера и образование,5,79.1,Безопасность,Поэтапное планирование,7,4,2025-03-05 06:43:31.714321,5
86,202,Покупки и потребление,Эксперт_20,Покупки и потребление,4,86.4,Здоровье,Консультация с другими,1,5,2025-03-15 06:43:31.714953,10
87,322,Технологии и цифровая жизнь,Эксперт_13,Технологии и цифровая жизнь,3,55.0,Репутационные риски,Быстрое решение,7,3,2025-05-08 06:43:31.715597,2
88,154,Жильё и недвижимость,Эксперт_3,Жильё и недвижимость,5,116.3,Влияние на отношения,Быстрое решение,7,3,2025-06-01 06:43:31.716383,9
89,45,Финансы и инвестиции,Эксперт_11,Финансы и инвестиции,5,81.1,Временные затраты,Сбор дополнительной информации,9,1,2025-04-13 06:43:31.717040,8
90,47,Финансы и инвестиции,Эксперт_20,Финансы и инвестиции,10,12.7,Здоровье,Быстрое решение,4,5,2025-08-06 06:43:31.717639,10
91,116,Здоровье и фитнес,Эксперт_19,Здоровье и фитнес,7,32.4,Эмоциональные последствия,Сбор дополнительной информации,6,4,2025-07-24 06:43:31.718223,5
92,145,Жильё и недвижимость,Эксперт_15,Жильё и недвижимость,3,106.8,Финансовые потери,Консультация с другими,9,4,2025-07-01 06:43:31.718816,4
93,1,Карьера и образование,Эксперт_9,Карьера и образование,4,114.0,Финансовые потери,Быстрое решение,2,2,2025-02-28 06:43:31.719405,6
94,229,Социальная жизнь,Эксперт_17,Социальная жизнь,8,49.3,Карьерные риски,Консультация с другими,6,8,2025-05-20 06:43:31.719960,10
95,278,Хобби и развлечения,Эксперт_9,Хобби и развлечения,8,40.4,Безопасность,Поэтапное планирование,10,5,2025-03-18 06:43:31.720701,6
96,166,Путешествия и отдых,Эксперт_7,Путешествия и отдых,6,116.1,Здоровье,Консультация с другими,10,8,2025-06-19 06:43:31.721296,7
97,52,Финансы и инвестиции,Эксперт_13,Финансы и инвестиции,10,93.5,Здоровье,Тщательный анализ,7,4,2025-06-17 06:43:31.721967,3
98,205,Покупки и потребление,Эксперт_3,Покупки и потребление,3,41.8,Карьерные риски,Тщательный анализ,9,1,2025-04-03 06:43:31.722629,6
99,308,Духовность и самопознание,Эксперт_20,Духовность и самопознание,5,61.5,Карьерные риски,Быстрое решение,7,10,2025-07-22 06:43:31.723229,6
100,241,Социальная жизнь,Эксперт_12,Социальная жизнь,10,46.4,Влияние на отношения,Поэтапное планирование,3,2,2025-06-27 06:43:31.723939,1
101,22,Карьера и образование,Эксперт_15,Карьера и образование,5,17.3,Карьерные риски,Сбор дополнительной информации,2,5,2025-07-12 06:43:31.724689,7
102,381,Безопасность и защита,Эксперт_4,Безопасность и защита,5,7.3,Влияние на отношения,Сбор дополнительной информации,10,4,2025-06-25 06:43:31.725294,3
103,389,Безопасность и защита,Эксперт_14,Безопасность и защита,2,36.8,Карьерные риски,Консультация с другими,4,1,2025-05-04 06:43:31.725976,10
104,189,Путешествия и отдых,Эксперт_14,Путешествия и отдых,4,79.3,Безопасность,Быстрое решение,2,1,2025-08-20 06:43:31.726644,9
105,337,Технологии и цифровая жизнь,Эксперт_4,Технологии и цифровая жизнь,8,112.9,Карьерные риски,Быстрое решение,3,2,2025-08-07 06:43:31.727305,6
106,221,Покупки и потребление,Эксперт_18,Покупки и потребление,8,12.0,Влияние на отношения,Консультация с другими,3,4,2025-05-27 06:43:31.728238,5
107,215,Покупки и потребление,Эксперт_6,Покупки и потребление,7,106.8,Безопасность,Консультация с другими,5,8,2025-08-15 06:43:31.728912,2
108,363,Безопасность и защита,Эксперт_16,Безопасность и защита,4,77.5,Репутационные риски,Тщательный анализ,9,7,2025-06-01 06:43:31.729571,3
109,104,Здоровье и фитнес,Эксперт_8,Здоровье и фитнес,8,56.1,Репутационные риски,Сбор дополнительной информации,7,7,2025-03-06 06:43:31.730380,6
110,151,Жильё и недвижимость,Эксперт_14,Жильё и недвижимость,4,24.2,Финансовые потери,Тщательный анализ,5,1,2025-03-15 06:43:31.731119,1
111,73,Отношения и семья,Эксперт_12,Отношения и семья,3,97.8,Временные затраты,Тщательный анализ,6,6,2025-03-14 06:43:31.731902,9
112,194,Покупки и потребление,Эксперт_2,Покупки и потребление,1,4.0,Репутационные риски,Поэтапное планирование,3,3,2025-08-11 06:43:31.732787,5
113,274,Хобби и развлечения,Эксперт_6,Хобби и развлечения,6,56.1,Эмоциональные последствия,Тщательный анализ,7,1,2025-03-26 06:43:31.733509,5
114,208,Покупки и потребление,Эксперт_8,Покупки и потребление,10,83.4,Временные затраты,Быстрое решение,7,9,2025-03-20 06:43:31.734268,2
115,82,Отношения и семья,Эксперт_16,Отношения и семья,3,109.1,Эмоциональные последствия,Тщательный анализ,4,7,2025-03-21 06:43:31.734965,6
116,199,Покупки и потребление,Эксперт_12,Покупки и потребление,3,62.7,Здоровье,Быстрое решение,1,10,2025-03-15 06:43:31.736068,3
